test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps,pca
"[[0.012227242812514305, -0.009442061185836792, 0.0394914448261261]]",972,"[0.6843701601028442, 0.16647814214229584, 0.02998988702893257]","[0.33500564098358154, -0.5322769284248352, 0.7898290157318115, -0.9757142066955566]",False,"[0.6965346336364746, -0.19396726787090302, 0.029999999329447746]","[[0.6926865577697754, 0.15165163576602936, 0.023420315235853195, 0.052285272628068924, 0.6843701601028442, 0.16647814214229584, 0.02998988702893257, 5.94756647842587e-06, 2.785727247101022e-06, 0.004277240019291639]]","[-0.16869118809700012, 0.337951123714447, 0.011334285140037537, 0.07180506736040115, -0.06422770768404007, 0.1669890284538269]","[[0.013287549838423729, -0.00712662935256958, 0.039331287145614624]]","[0, 30]",4.019812509,-0.3606506288051605,33.0,972.0,1748233136.2067318,12.0,
"[[0.013176309876143932, 0.0480947382748127, 0.02504558674991131]]",986,"[0.6698201298713684, 0.2683180570602417, 0.029989831149578094]","[0.26352620124816895, 0.9618947505950928, 0.5009117126464844, -0.2872314453125]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.7189464569091797, 0.09854132682085037, 0.16203531622886658, 4.942171653965488e-05, 0.6698201298713684, 0.2683180570602417, 0.029989831149578094, 5.9111471273354255e-06, 2.7444644956631237e-07, 3.5360442872389708e-12]]","[0.12530182301998138, 0.004401452839374542, 0.026186253875494003, -0.018120773136615753, -0.016248561441898346, -0.03209733963012695]","[[0.005160379223525524, 0.007062360644340515, 0.00692400150001049]]","[0, 30]",4.051866339,-0.38685402274131775,34.0,986.0,1748233136.23996,4.0,
"[[-0.008815131150186062, 0.020158691331744194, -0.03529378026723862]]",990,"[0.669334888458252, 0.2702847123146057, 0.029989833012223244]","[-0.18600744009017944, 0.44250690937042236, -0.7058775424957275, 0.7099144458770752]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.685926616191864, 0.2363959401845932, 0.060890406370162964, 0.07707066088914871, 0.669334888458252, 0.2702847123146057, 0.029989833012223244, -8.491886092087952e-07, -5.8407777032698505e-06, 0.06591566652059555]]","[0.10265447199344635, 0.2046494334936142, 0.06781777739524841, 0.013062726706266403, 0.09762976318597794, 0.017350271344184875]","[[-0.0033219074830412865, 0.002612559124827385, -0.0101546049118042]]","[0, 30]",4.100866002,-0.38821351528167725,34.0,990.0,1748233136.2470095,8.0,
"[[0.037388481199741364, 0.013190735131502151, 0.049039870500564575]]",995,"[0.6887925267219543, 0.30839264392852783, 0.029989980161190033]","[0.8207542896270752, 0.35303688049316406, 0.9807981252670288, -0.9978029131889343]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.6988846659660339, 0.2991125285625458, 0.023978907614946365, 0.056037645787000656, 0.6887925267219543, 0.30839264392852783, 0.029989980161190033, -5.251840207165515e-07, 2.2727195414518064e-07, 0.06799488514661789]]","[-0.2641987204551697, 0.3401646018028259, 0.2523561716079712, -0.07354215532541275, -0.110617496073246, 0.20238953828811646]","[[0.041952766478061676, 0.016958285123109818, 0.04690583050251007]]","[0, 30]",4.101123208,-0.4307282865047455,34.0,995.0,1748233136.2582536,13.0,
"[[-0.04297738894820213, -0.0380217507481575, -0.0471377894282341]]",998,"[0.6994802355766296, 0.2971346080303192, 0.02998347580432892]","[-0.8355115652084351, -0.9922714233398438, -0.9428378343582153, -0.930121123790741]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.7154822945594788, 0.280893474817276, 0.022666212171316147, 0.049992743879556656, 0.6994802355766296, 0.2971346080303192, 0.02998347580432892, -0.00020792278519365937, -1.896643516374752e-05, -0.04041386768221855]]","[-0.3203650116920471, 0.32380086183547974, 0.6255599856376648, -0.22602656483650208, -0.797461211681366, 0.4370245933532715]","[[-0.043297287076711655, -0.03885594755411148, -0.047332677990198135]]","[0, 30]",4.101238181,-0.42742660641670227,34.0,998.0,1748233136.2662303,16.0,
"[[-0.03761568292975426, -0.022418510168790817, -0.04803968220949173]]",1000,"[0.683203399181366, 0.24946729838848114, 0.029979972168803215]","[-0.9596292972564697, -0.9972100853919983, -0.9599844217300415, -0.9614827632904053]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.6996976137161255, 0.23625539243221283, 0.022704990580677986, 0.052002448588609695, 0.683203399181366, 0.24946729838848114, 0.029979972168803215, -0.0009016757248900831, 0.0005702037014998496, -0.03451645374298096]]","[-0.23751424252986908, 0.22890961170196533, 0.8826696276664734, -0.06306982785463333, -0.9638057947158813, 0.5240758061408997]","[[-0.03801849111914635, -0.023743223398923874, -0.047936126589775085]]","[0, 30]",4.101314733,-0.3793644309043884,34.0,1000.0,1748233136.271701,18.0,
"[[-0.032814159989356995, -0.013635054230690002, -0.0488336980342865]]",1003,"[0.6399242281913757, 0.1465151309967041, 0.029984794557094574]","[-0.9930709004402161, -0.996769368648529, -0.9767336845397949, -0.9820272326469421]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.6571462750434875, 0.1371101438999176, 0.022442717105150223, 0.055398594588041306, 0.6399242281913757, 0.1465151309967041, 0.029984794557094574, -0.00013097331975586712, -3.736771031981334e-05, 0.002666683867573738]]","[-0.017412623390555382, -0.029027387499809265, 1.3561391830444336, 0.4232792258262634, -0.8270987272262573, 0.5717074871063232]","[[-0.033170536160469055, -0.014694169163703918, -0.04884817451238632]]","[0, 30]",4.101422242,-0.2727254033088684,34.0,1003.0,1748233136.2798252,21.0,
"[[0.025501172989606857, -0.06698713451623917, 0.036654189229011536]]",1020,"[0.4051235318183899, 0.04833226650953293, 0.030870970338582993]","[0.6821670532226562, -0.9648143649101257, 0.737451434135437, -0.8747851848602295]",False,"[0.4529567062854767, -0.05203532427549362, 0.029999999329447746]","[[0.41652727127075195, 0.03294097259640694, 0.02771894633769989, 0.05185119807720184, 0.4051235318183899, 0.04833226650953293, 0.030870970338582993, 0.02986896224319935, -3.3983131288550794e-05, 0.12382826954126358]]","[-0.1864820271730423, -2.1134896278381348, 2.9312140941619873, 5.603549957275391, 1.0245094299316406, 0.3227223753929138]","[[0.025774847716093063, -0.07027134299278259, 0.036162085831165314]]","[0, 30]",4.145393932,-0.1111864373087883,34.0,1020.0,1748233136.3256474,38.0,
"[[-0.05498962849378586, 0.13668008148670197, 0.02391543611884117]]",1026,"[0.5464488863945007, -0.1678372472524643, 0.029999999329447746]","[0.46353113651275635, -0.9624121189117432, 0.4785332679748535, 0.11500120162963867]",True,"[0.572047233581543, 0.21957047283649445, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.5464488863945007, -0.1678372472524643, 0.029999999329447746, 0, 0, 0]]","[-0.036260925233364105, -3.550278663635254, 2.8765878677368164, 9.536788940429688, 2.7045180797576904, 0.004361942410469055]","[[-0.13755634427070618, -0.0424947552382946, -0.14141158759593964]]","[0, 30]",4.153330921,-0.04806772246956825,34.0,1026.0,1748233136.341161,44.0,
"[[-0.014489409513771534, 0.03553248941898346, -0.03850541263818741]]",1032,"[0.6721816658973694, 0.027761800214648247, 0.029989492148160934]","[-0.12295836210250854, 0.9664567708969116, -0.7701177000999451, -0.5900042057037354]",False,"[0.503203809261322, 0.27649131417274475, 0.029999999329447746]","[[0.6697213649749756, 0.03914600983262062, 0.022503037005662918, 0.05936843901872635, 0.6721816658973694, 0.027761800214648247, 0.029989492148160934, -0.00013707119796890765, 0.00011970738705713302, -0.2922399938106537]]","[0.1596081256866455, 0.054152920842170715, 0.04068548604846001, -0.012292645871639252, 0.005065441131591797, -0.03153589367866516]","[[-0.009685513563454151, 0.027958475053310394, -0.03763926029205322]]","[0, 30]",4.16596106,-0.30069899559020996,35.0,1032.0,1748233136.3530939,5.0,
"[[7.713446393609047e-05, 0.009305980056524277, -0.030317464843392372]]",1036,"[0.6908268928527832, 0.14026501774787903, 0.02998393401503563]","[0.11168849468231201, 0.9252098798751831, -0.605821967124939, 0.08369910717010498]",False,"[0.503203809261322, 0.27649131417274475, 0.029999999329447746]","[[0.6906901597976685, 0.14434784650802612, 0.022086603567004204, 0.06531276553869247, 0.6908268928527832, 0.14026501774787903, 0.02998393401503563, 0.0043126484379172325, -0.004493529908359051, 0.011062703095376492]]","[0.037724435329437256, 0.24439601600170135, 0.07407085597515106, 0.026837244629859924, 0.11756549775600433, 0.038723498582839966]","[[-0.0009981333278119564, 0.013399381190538406, -0.03039119392633438]]","[0, 30]",4.175773042,-0.23186206817626953,35.0,1036.0,1748233136.3634164,9.0,
"[[-0.02754637971520424, -0.040034178644418716, -0.04954606294631958]]",1045,"[0.6404962539672852, 0.31610819697380066, 0.029983699321746826]","[-0.9819514155387878, -0.9955478310585022, -0.9898442625999451, -0.9925576448440552]",False,"[0.503203809261322, 0.27649131417274475, 0.029999999329447746]","[[0.6400707960128784, 0.3019612431526184, 0.022371742874383926, 0.051646888256073, 0.6404962539672852, 0.31610819697380066, 0.029983699321746826, 0.0017502879491075873, -0.0018874400993809104, 0.02622475102543831]]","[-0.15610714256763458, 0.22504281997680664, 0.7292229533195496, -0.019261829555034637, -1.0280896425247192, 0.519239068031311]","[[-0.028004799038171768, -0.04201600328087807, -0.04956729710102081]]","[0, 30]",4.236833909,-0.14289404451847076,35.0,1045.0,1748233136.3856444,18.0,
"[[0.06208262965083122, 0.06507988274097443, 0.04424603283405304]]",1052,"[0.49117669463157654, 0.13036850094795227, 0.031533025205135345]","[0.85416579246521, 0.8697118759155273, 0.9164294004440308, -0.39090967178344727]",False,"[0.503203809261322, 0.27649131417274475, 0.029999999329447746]","[[0.49705585837364197, 0.14836803078651428, 0.023788325488567352, 0.04877685755491257, 0.49117669463157654, 0.13036850094795227, 0.031533025205135345, -0.05410497263073921, 0.0009578950703144073, -0.05090174451470375]]","[0.08148685842752457, -0.5152906179428101, 1.768768072128296, 1.7539087533950806, -0.5068259239196777, 0.5568678975105286]","[[0.061949651688337326, 0.0624171607196331, 0.04480624571442604]]","[0, 30]",4.237080867,-0.14662496745586395,35.0,1052.0,1748233136.4039242,25.0,
"[[0.050691157579422, 0.030705604702234268, 0.04904159903526306]]",1056,"[0.46821653842926025, 0.14119473099708557, 0.031383685767650604]","[0.9927833080291748, 0.9374234676361084, 0.9752457141876221, -0.7694697380065918]",False,"[0.503203809261322, 0.27649131417274475, 0.029999999329447746]","[[0.473793625831604, 0.15275618433952332, 0.024443572387099266, 0.05262449011206627, 0.46821653842926025, 0.14119473099708557, 0.031383685767650604, -0.047628004103899, 2.6330837954446906e-06, -0.01197012234479189]]","[0.010609487071633339, -0.9539486169815063, 2.2140955924987793, 2.5195600986480713, -0.22590920329093933, 0.5856302380561829]","[[0.05101922154426575, 0.03264128044247627, 0.04890376701951027]]","[0, 30]",4.237242386,-0.1397540420293808,35.0,1056.0,1748233136.4148195,29.0,
"[[0.02500920370221138, -0.04879678413271904, -0.019615571945905685]]",1062,"[0.6541995406150818, -0.17289987206459045, 0.029989831149578094]","[0.5001840591430664, -0.975935697555542, -0.3923114538192749, 0.9654346704483032]",False,"[0.4785307049751282, -0.16481691598892212, 0.029999999329447746]","[[0.6238224506378174, 0.03149769827723503, 0.15707843005657196, 0.07027386873960495, 0.6541995406150818, -0.17289987206459045, 0.029989831149578094, 5.682096343662124e-06, 4.93193226702715e-07, 1.899811384598049e-11]]","[0.0314023420214653, -0.025919906795024872, -0.01904485374689102, -0.028399355709552765, 0.053554654121398926, 0.13179214298725128]","[[0.013615597039461136, -0.057848528027534485, 0.0013006944209337234]]","[0, 30]",4.280946782,-0.17585469782352448,36.0,1062.0,1748233136.4290864,1.0,
"[[-0.03261325880885124, -0.05020717531442642, -0.04946567490696907]]",1084,"[0.6284986138343811, -0.024413011968135834, 0.029989805072546005]","[-0.981286346912384, -0.9011250138282776, -0.9892758727073669, -0.9838326573371887]",False,"[0.4785307049751282, -0.16481691598892212, 0.029999999329447746]","[[0.6369929313659668, -0.038589056581258774, 0.022381918504834175, 0.05383225902915001, 0.6284986138343811, -0.024413011968135834, 0.029989805072546005, 6.091825980547583e-06, -2.47903767558455e-06, 0.0876089408993721]]","[0.04205731302499771, -0.224384605884552, 1.6104180812835693, 0.9626501202583313, -0.6405354142189026, 0.5438743233680725]","[[-0.03257928416132927, -0.05261732637882233, -0.04945577308535576]]","[0, 30]",4.325099418,-0.20543521642684937,36.0,1084.0,1748233136.481372,23.0,
"[[0.04049346596002579, -0.04554693028330803, -0.0027879567351192236]]",1092,"[0.6916719675064087, -0.2879965901374817, 0.029989320784807205]","[0.8098692893981934, -0.910938560962677, -0.055700719356536865, 0.948897123336792]",False,"[0.48628634214401245, -0.21430715918540955, 0.029999999329447746]","[[0.6828336119651794, -0.05313738062977791, 0.2023005336523056, 0.07881755381822586, 0.6916719675064087, -0.2879965901374817, 0.029989320784807205, -2.2741502107237466e-05, -1.564595919489875e-07, -2.97203338328611e-11]]","[0.03145550936460495, -0.02578778564929962, -0.019158922135829926, -0.028216280043125153, 0.053576432168483734, 0.13179966807365417]","[[0.01559612900018692, -0.010936468839645386, -0.0010868699755519629]]","[0, 30]",4.325412368,-0.21820491552352905,37.0,1092.0,1748233136.5032647,1.0,
"[[-0.03735756501555443, 0.027694769203662872, -0.044738464057445526]]",1108,"[0.685208797454834, -0.2705930769443512, 0.029986504465341568]","[-0.9149288535118103, 0.9014595746994019, -0.8948337435722351, -0.9657750725746155]",False,"[0.48628634214401245, -0.21430715918540955, 0.029999999329447746]","[[0.6950455904006958, -0.2563038468360901, 0.02243744768202305, 0.05315648019313812, 0.685208797454834, -0.2705930769443512, 0.029986504465341568, 9.556380973663181e-05, -1.7578178812982515e-05, -0.017905713990330696]]","[-0.27993157505989075, 0.27269822359085083, 0.750200629234314, -0.15490666031837463, -0.8922696113586426, 0.4808388948440552]","[[-0.03744130954146385, 0.028221525251865387, -0.044866956770420074]]","[0, 30]",4.369172647,-0.20673230290412903,37.0,1108.0,1748233136.5457907,17.0,
"[[-0.029052283614873886, 0.003393653780221939, -0.04907786846160889]]",1113,"[0.6015222072601318, -0.1263136863708496, 0.029960021376609802]","[-0.9922842979431152, 0.6500468254089355, -0.9806395769119263, -0.9754701852798462]",False,"[0.48628634214401245, -0.21430715918540955, 0.029999999329447746]","[[0.612497866153717, -0.1298372596502304, 0.02248503267765045, 0.05637674033641815, 0.6015222072601318, -0.1263136863708496, 0.029960021376609802, -0.0013772748643532395, 0.00041000687633641064, 0.017504792660474777]]","[-0.014997383579611778, -0.10897372663021088, 1.4210022687911987, 0.6492639183998108, -0.7226108312606812, 0.5275474786758423]","[[-0.029317285865545273, 0.00892268493771553, -0.049123913049697876]]","[0, 30]",4.4128803,-0.14499019086360931,37.0,1113.0,1748233136.5595784,22.0,
"[[-0.02760869264602661, -0.04821992293000221, -0.01090602483600378]]",1117,"[0.5217160582542419, -0.06917974352836609, 0.029984066262841225]","[-0.9479808807373047, -0.8905305862426758, -0.2229710817337036, -0.8052036166191101]",False,"[0.48628634214401245, -0.21430715918540955, 0.029999999329447746]","[[0.5365660786628723, -0.08552737534046173, 0.022577762603759766, 0.05126587674021721, 0.5217160582542419, -0.06917974352836609, 0.029984066262841225, -0.00015764175623189658, -3.931228638975881e-05, 0.043884873390197754]]","[0.17065049707889557, -0.5250495076179504, 1.869079828262329, 1.6911429166793823, -0.3186752498149872, 0.5719587206840515]","[[-0.02712535858154297, -0.046968575567007065, -0.010979034937918186]]","[0, 30]",4.413021061,-0.14938952028751373,37.0,1117.0,1748233136.5701923,26.0,
"[[-0.0422416515648365, 0.029832368716597557, -0.017867496237158775]]",1127,"[0.511456310749054, 0.05789138749241829, 0.02998988702893257]","[-0.8448330163955688, 0.5966473817825317, -0.35734879970550537, 0.23456144332885742]",False,"[0.6693156957626343, -0.02331591583788395, 0.029999999329447746]","[[0.5633462071418762, 0.041349224746227264, 0.10919850319623947, 0.020604796707630157, 0.511456310749054, 0.05789138749241829, 0.02998988702893257, 3.7681754747609375e-06, 7.971467930190101e-09, 1.8938977122684442e-11]]","[0.05667657032608986, -0.027732551097869873, 0.006567869335412979, -0.020913854241371155, -0.01726340502500534, -0.005011141300201416]","[[-0.013240177184343338, 0.004732122644782066, -0.0023685190826654434]]","[0, 30]",4.413375527,-0.17752240598201752,38.0,1127.0,1748233136.5927083,3.0,
"[[0.0060912370681762695, -0.040339455008506775, 0.0038368210662156343]]",1134,"[0.5263911485671997, 0.04188593849539757, 0.029989950358867645]","[0.2541649341583252, -0.8456239700317383, 0.0767359733581543, -0.5042309761047363]",False,"[0.6693156957626343, -0.02331591583788395, 0.029999999329447746]","[[0.5197141766548157, 0.043156374245882034, 0.026532160118222237, 0.053227487951517105, 0.5263911485671997, 0.04188593849539757, 0.029989950358867645, -1.2669327134062769e-06, -2.0098126185530418e-07, 0.06331189721822739]]","[-0.03433448076248169, 0.2790147066116333, 0.07396134734153748, 0.042528241872787476, 0.1195000484585762, 0.06510208547115326]","[[0.005029916763305664, -0.0322779044508934, 0.0035910431761294603]]","[0, 30]",4.456974157,-0.1570945531129837,38.0,1134.0,1748233136.6077774,10.0,
"[[0.02926911786198616, 0.002055250108242035, 0.026813074946403503]]",1137,"[0.5592566132545471, -0.0026144750881940126, 0.02992701344192028]","[0.8939710855484009, -0.38324475288391113, 0.5353844165802002, -0.9685978889465332]",False,"[0.6693156957626343, -0.02331591583788395, 0.029999999329447746]","[[0.5537509918212891, -0.01325544435530901, 0.02689964696764946, 0.05276918783783913, 0.5592566132545471, -0.0026144750881940126, 0.02992701344192028, -0.002125262515619397, 2.7643758585327305e-05, -0.00803870614618063]]","[-0.2563059628009796, 0.3443140983581543, 0.2238626927137375, -0.05638953298330307, -0.1292891800403595, 0.2035769671201706]","[[0.029183227568864822, -0.0037232376635074615, 0.026578029617667198]]","[0, 30]",4.457076847,-0.11198906600475311,38.0,1137.0,1748233136.6158638,13.0,
"[[0.008031154051423073, -0.000478286761790514, -0.049913011491298676]]",1147,"[0.727388858795166, -0.06501775234937668, 0.029989970847964287]","[0.461850643157959, 0.0988689661026001, -0.998256504535675, 0.8163495063781738]",False,"[0.4971863627433777, 0.030145591124892235, 0.029999999329447746]","[[0.7025653719902039, -0.05339973792433739, 0.021922718733549118, 0.08000525832176208, 0.727388858795166, -0.06501775234937668, 0.029989970847964287, -2.604928681648744e-07, 1.579091843950664e-07, -0.6693503260612488]]","[0.16542582213878632, 0.10981454700231552, 0.051921989768743515, -0.005494363605976105, 0.03406526893377304, -0.020120173692703247]","[[0.0065174344927072525, 0.0004181112162768841, -0.050677135586738586]]","[0, 30]",4.457423258,-0.2490968555212021,39.0,1147.0,1748233136.6377344,6.0,
"[[0.0020654555410146713, -0.017251119017601013, -0.04649437591433525]]",1150,"[0.7854107022285461, -0.03667377308011055, 0.02998986840248108]","[0.44457030296325684, -0.13101667165756226, -0.9298815727233887, 0.21766877174377441]",False,"[0.4971863627433777, 0.030145591124892235, 0.029999999329447746]","[[0.7522336840629578, -0.03637870401144028, 0.02191768027842045, 0.08000020682811737, 0.7854107022285461, -0.03667377308011055, 0.02998986840248108, 0.0016297642141580582, -0.0016273035435006022, -0.5462098717689514]]","[0.038104839622974396, 0.2443724423646927, 0.07376028597354889, 0.02609775960445404, 0.11670133471488953, 0.03949476033449173]","[[0.011376595124602318, -0.004782449454069138, -0.0464852899312973]]","[0, 30]",4.457526329,-0.2958683669567108,39.0,1150.0,1748233136.6443093,9.0,
"[[0.030566751956939697, -0.050477638840675354, 0.00620638020336628]]",1162,"[1.020643949508667, 0.022861488163471222, 0.028568388894200325]","[0.9996497631072998, -0.9191063642501831, 0.09571194648742676, -0.14154702425003052]",False,"[0.4971863627433777, 0.030145591124892235, 0.029999999329447746]","[[0.7256162762641907, -0.3583649694919586, 0.1509711742401123, 1.2307219776630518e-06, 1.020643949508667, 0.022861488163471222, 0.028568388894200325, 0.061925649642944336, -0.03572499752044678, 2.1013495922088623]]","[-0.1394069939851761, -0.05509485304355621, 1.088454008102417, 0.6609899997711182, -1.0933083295822144, 0.6159831285476685]","[[0.056358516216278076, -0.03208358958363533, 0.0028569549322128296]]","[0, 30]",4.501320592,-0.523510217666626,39.0,1162.0,1748233136.6654112,21.0,
"[[0.008706068620085716, -0.05443858727812767, 0.120353102684021]]",1167,"[1.120326280593872, 0.04527640342712402, -0.17194584012031555]","[0.5715460777282715, -0.9997714161872864, 0.9911668300628662, 0.9997526407241821]",False,"[0.4971863627433777, 0.030145591124892235, 0.029999999329447746]","[[0.6778060793876648, -0.42037248611450195, 0.2353566735982895, 0.07996737957000732, 1.120326280593872, 0.04527640342712402, -0.17194584012031555, 1.4818105697631836, -1.097745418548584, 1.9522262811660767]]","[0.001489618793129921, -0.8826415538787842, 2.808894634246826, 2.466629981994629, -1.512272834777832, 1.1396105289459229]","[[0.04419378191232681, -0.03566858544945717, 0.02757422626018524]]","[0, 30]",4.501514922,-0.6552208662033081,39.0,1167.0,1748233136.6734855,26.0,
"[[-0.03924298286437988, 0.010989584028720856, 0.0012951791286468506]]",1179,"[1.1871839761734009, 0.030613113194704056, -0.3700101375579834]","[-0.7848572731018066, 0.2197951078414917, 0.02590358257293701, 0.6734110116958618]",False,"[0.4971863627433777, 0.030145591124892235, 0.029999999329447746]","[[0.3061458468437195, -0.7329790592193604, 0.018077051267027855, 0.07393836230039597, 1.1871839761734009, 0.030613113194704056, -0.3700101375579834, 0, -1.5707963705062866, 3.154339075088501]]","[-3.731130838394165, -2.0272793769836426, 5.187963962554932, 7.895342826843262, 2.600457191467285, 0.0943513810634613]","[[-0.00784832239151001, 0.022623211145401, 0.018311483785510063]]","[0, 30]",4.544976027,-0.7975619435310364,39.0,1179.0,1748233136.69323,38.0,
"[[0.565692126750946, -0.17704011499881744, -0.4140326976776123]]",1190,"[0.6523812413215637, 0.25402894616127014, 0.029999999329447746]","[0.617763876914978, 0.9274801015853882, -0.2804514169692993, 0.8946635723114014]",True,"[0.48243486881256104, 0.2214210480451584, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.6523812413215637, 0.25402894616127014, 0.029999999329447746, 0, 0, 0]]","[-5.252295970916748, -4.3416666984558105, 4.6052656173706055, 14.822324752807617, 7.495726108551025, -0.5282252430915833]","[[-0.25873130559921265, -0.6738374829292297, -0.17967286705970764]]","[0, 30]",4.54536102,-0.7975630760192871,39.0,1190.0,1748233136.7127872,49.0,
"[[-0.00905562099069357, 0.048082370311021805, -0.04768398404121399]]",1211,"[0.6559066772460938, -0.24110688269138336, 0.030655700713396072]","[-0.1785672903060913, 0.3003964424133301, -0.9397107362747192, -0.9665977954864502]",False,"[0.5878218412399292, -0.28470519185066223, 0.029999999329447746]","[[0.6460953950881958, -0.22445684671401978, 0.022876329720020294, 0.051491547375917435, 0.6559066772460938, -0.24110688269138336, 0.030655700713396072, -0.023124663159251213, -0.0001875655580079183, -0.05305730924010277]]","[-0.07594846934080124, 0.05828825384378433, 1.208829402923584, 0.29228466749191284, -0.8447358012199402, 0.5798285603523254]","[[-0.007529801689088345, 0.03894354775547981, -0.046977780759334564]]","[0, 30]",4.575630897,-0.08085040748119354,40.0,1211.0,1748233136.7628696,20.0,
"[[-0.011272216215729713, -0.06523686647415161, -0.04783855751156807]]",1213,"[0.6321008801460266, -0.16381707787513733, 0.029999999329447746]","[-0.5677359104156494, 0.700756311416626, -0.9593338966369629, -0.9834192991256714]",True,"[0.5558328628540039, -0.04460494965314865, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.6321008801460266, -0.16381707787513733, 0.029999999329447746, 0, 0, 0]]","[-0.018203159794211388, -0.11188733577728271, 1.414825201034546, 0.65952068567276, -0.7223124504089355, 0.5264846086502075]","[[-0.031530581414699554, -0.20966243743896484, -0.22243034839630127]]","[0, 30]",4.580312166,-0.04947900027036667,40.0,1213.0,1748233136.7683008,22.0,
"[[-0.026977593079209328, 0.04926281049847603, -0.022393641993403435]]",1218,"[0.5211407542228699, 0.19333411753177643, 0.029989873990416527]","[-0.539551854133606, 0.9852561950683594, -0.4478726387023926, -0.22558629512786865]",False,"[0.41699719429016113, -0.052074797451496124, 0.029999999329447746]","[[0.592517614364624, 0.07472175359725952, 0.13385812938213348, 0.0005171325174160302, 0.5211407542228699, 0.19333411753177643, 0.029989873990416527, 4.406920652400004e-06, 4.905948571831686e-07, 1.162909768481768e-09]]","[0.12522782385349274, 0.0043783485889434814, 0.026114370673894882, -0.01810503751039505, -0.016253121197223663, -0.03208641707897186]","[[-0.008809978142380714, 0.0064600445330142975, -0.00306059792637825]]","[0, 30]",4.58847905,-0.26659223437309265,41.0,1218.0,1748233136.7765725,4.0,
"[[-0.0584060363471508, -0.010679163038730621, -0.044916167855262756]]",1230,"[0.5895300507545471, 0.07842721790075302, 0.029980866238474846]","[-0.8890291452407837, -0.9122192859649658, -0.8983012437820435, -0.912335991859436]",False,"[0.41699719429016113, -0.052074797451496124, 0.029999999329447746]","[[0.5881602764129639, 0.0661366879940033, 0.022747190669178963, 0.05081807076931, 0.5895300507545471, 0.07842721790075302, 0.029980866238474846, 0.001660501817241311, -0.001960005611181259, 0.012639769352972507]]","[-0.31964072585105896, 0.327464759349823, 0.6147381067276001, -0.22838133573532104, -0.8188279867172241, 0.4405554533004761]","[[-0.04770980402827263, -0.011293232440948486, -0.04558533802628517]]","[0, 30]",4.618070611,-0.21632929146289825,41.0,1230.0,1748233136.805304,16.0,
"[[-0.04091474041342735, 0.055254142731428146, -0.04764682427048683]]",1240,"[0.6752684712409973, -0.21396112442016602, 0.02998805232346058]","[-0.719658613204956, 0.977953314781189, -0.9527261257171631, -0.9887033700942993]",False,"[0.41699719429016113, -0.052074797451496124, 0.029999999329447746]","[[0.6633199453353882, -0.1948593109846115, 0.0227240901440382, 0.048459604382514954, 0.6752684712409973, -0.21396112442016602, 0.02998805232346058, 4.644643922802061e-05, 8.385371074837167e-06, -0.09830091893672943]]","[0.17432598769664764, -0.5272758603096008, 1.8726485967636108, 1.694165587425232, -0.32257404923439026, 0.5733070969581604]","[[-0.0315220020711422, 0.05429470166563988, -0.04807601496577263]]","[0, 30]",4.669048106,-0.3048134446144104,41.0,1240.0,1748233136.8311696,26.0,
"[[0.02483895979821682, 0.04888710007071495, -0.04661407321691513]]",1241,"[0.6793634295463562, -0.21468748152256012, 0.029989389702677727]","[0.5786783695220947, 0.9632148742675781, -0.9322546720504761, -0.9824073314666748]",False,"[0.41699719429016113, -0.052074797451496124, 0.029999999329447746]","[[0.672693133354187, -0.1966271698474884, 0.022256195545196533, 0.04837457463145256, 0.6793634295463562, -0.21468748152256012, 0.029989389702677727, 2.4036546165007167e-05, 4.419660854182439e-06, -0.07445564866065979]]","[0.1452997773885727, -0.6363645792007446, 1.9599000215530396, 1.9050636291503906, -0.2622469365596771, 0.5684049129486084]","[[0.01956073008477688, 0.04992860183119774, -0.046144843101501465]]","[0, 30]",4.669098559,-0.30867284536361694,41.0,1241.0,1748233136.8338387,27.0,
