test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps,pca
"[[0.045165158808231354, -0.0017362087965011597, 0.026745518669486046]]",128,"[0.577684760093689, 0.32280996441841125, 0.029989998787641525]","[0.9541959762573242, -0.14033526182174683, 0.5349102020263672, -0.8454707860946655]",False,"[0.6282050013542175, 0.2228170782327652, 0.029999999329447746]","[[0.5888694524765015, 0.3184901773929596, 0.05344393104314804, 0.054094016551971436, 0.577684760093689, 0.32280996441841125, 0.029989998787641525, -2.32808208266988e-08, 2.233567109044543e-09, 0.07673751562833786]]","[-0.3247273862361908, 0.34460848569869995, 0.48501622676849365, -0.22373682260513306, -0.60111004114151, 0.3803345561027527]","[[0.028407134115695953, -0.01048608124256134, 0.02063828520476818]]","[0, 30]",2.120997558,-0.11203067004680634,7.0,128.0,1748233134.2724545,15.0,
"[[0.00881167035549879, -0.033832769840955734, -0.034042567014694214]]",131,"[0.5908975601196289, 0.31180378794670105, 0.029989974573254585]","[0.23203766345977783, -0.8081652522087097, -0.6808444261550903, -0.9008690118789673]",False,"[0.6282050013542175, 0.2228170782327652, 0.029999999329447746]","[[0.6006793975830078, 0.2961095869541168, 0.022300057113170624, 0.04989997297525406, 0.5908975601196289, 0.31180378794670105, 0.029989974573254585, -7.844794822631229e-07, 1.1731648328350275e-06, 0.013695323839783669]]","[-0.23748864233493805, 0.22865617275238037, 0.8812276124954224, -0.06178692728281021, -0.9630292654037476, 0.5236970782279968]","[[0.006379860453307629, -0.027454685419797897, -0.029916267842054367]]","[0, 30]",2.121120446,-0.09649082273244858,7.0,131.0,1748233134.2800694,18.0,
"[[0.025871431455016136, -0.0006409048801288009, 0.04727435111999512]]",147,"[0.6790485382080078, 0.30582934617996216, 0.02999008074402809]","[0.5872483253479004, -0.038572072982788086, 0.9454977512359619, -0.9975553154945374]",False,"[0.5794128775596619, -0.09208936989307404, 0.029999999329447746]","[[0.6867735981941223, 0.2906818985939026, 0.023744767531752586, 0.052018944174051285, 0.6790485382080078, 0.30582934617996216, 0.02999008074402809, 3.5418104289419716e-06, 2.42519672610797e-06, -0.0006393055664375424]]","[-0.2065524309873581, 0.32764843106269836, 0.16605551540851593, -0.008740060031414032, 0.03282278776168823, 0.14161662757396698]","[[0.03234080225229263, 0.0034089325927197933, 0.04553382098674774]]","[0, 30]",2.12596092,-0.41020309925079346,8.0,147.0,1748233134.312654,12.0,
"[[0.006037396378815174, -0.04684239625930786, -0.022512296214699745]]",164,"[0.62009197473526, -0.16485927999019623, 0.029989995062351227]","[0.12074792385101318, -0.9368479251861572, -0.4502454996109009, 0.9184479713439941]",False,"[0.5685663223266602, -0.17984989285469055, 0.029999999329447746]","[[0.6165233254432678, -0.06212320178747177, 0.12695802748203278, 0.07992663234472275, 0.62009197473526, -0.16485927999019623, 0.029989995062351227, -2.70138173164014e-07, -1.5078987303240865e-07, -3.317220803600307e-11]]","[0.1252298504114151, 0.004378855228424072, 0.026105638593435287, -0.01809878647327423, -0.01625589281320572, -0.032084837555885315]","[[0.0017217816784977913, -0.007931672036647797, -0.0059707798063755035]]","[0, 30]",2.193159472,-0.0536620058119297,9.0,164.0,1748233134.3564122,4.0,
"[[-0.027339328080415726, 0.00878838635981083, -0.028267541900277138]]",170,"[0.6415985226631165, -0.19439074397087097, 0.02998894453048706]","[-0.44350719451904297, 0.022395730018615723, -0.5652694702148438, -0.21326124668121338]",False,"[0.5685663223266602, -0.17984989285469055, 0.029999999329447746]","[[0.633107602596283, -0.18826507031917572, 0.022656219080090523, 0.05470328778028488, 0.6415985226631165, -0.19439074397087097, 0.02998894453048706, -3.004221071023494e-05, -5.8633169828681275e-05, -0.039123065769672394]]","[-0.03950794041156769, 0.2771416902542114, 0.09447738528251648, 0.030275210738182068, 0.1279889941215515, 0.06402468681335449]","[[-0.024496663361787796, 0.004961112048476934, -0.028573913499712944]]","[0, 30]",2.193371494,-0.07446568459272385,9.0,170.0,1748233134.3694966,10.0,
"[[-0.03401997312903404, 0.008819490671157837, -0.049239516258239746]]",178,"[0.6191524863243103, -0.14370599389076233, 0.029973208904266357]","[-0.965661346912384, 0.6317466497421265, -0.985107958316803, -0.9611666202545166]",False,"[0.5685663223266602, -0.17984989285469055, 0.029999999329447746]","[[0.6189427971839905, -0.13244017958641052, 0.02252880483865738, 0.05255543813109398, 0.6191524863243103, -0.14370599389076233, 0.029973208904266357, -0.0002176268317271024, -0.00017174090316984802, 0.00850446242839098]]","[-0.23857523500919342, 0.2328060269355774, 0.8762609958648682, -0.05561152845621109, -0.977581262588501, 0.5286490321159363]","[[-0.03236975893378258, 0.009744778275489807, -0.04912765324115753]]","[0, 30]",2.241066639,-0.062171872705221176,9.0,178.0,1748233134.3909938,18.0,
"[[0.041507065296173096, 0.04520707204937935, -0.015531879849731922]]",187,"[0.41649752855300903, -0.2126832902431488, 0.029989872127771378]","[0.8301413059234619, 0.9041414260864258, -0.3108401298522949, 0.21003961563110352]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.6640512347221375, 0.024485336616635323, 0.18757832050323486, 0.018450330942869186, 0.41649752855300903, -0.2126832902431488, 0.029989872127771378, -1.5367468222393654e-06, 3.4093625345121836e-06, 1.4366828039735768e-11]]","[0.03122839704155922, -0.03600741922855377, -0.040873948484659195, -0.03563288599252701, 0.07730468362569809, 0.2006673514842987]","[[0.015895485877990723, 0.020721735432744026, -0.005720189772546291]]","[0, 30]",2.24141821,-0.1408911645412445,10.0,187.0,1748233134.41535,0.0,
"[[-0.036956727504730225, -0.041496533900499344, -0.013326462358236313]]",188,"[0.41649752855300903, -0.2126832902431488, 0.029989873990416527]","[-0.7391345500946045, -0.8299306631088257, -0.2665292024612427, 0.30042362213134766]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.6365342140197754, 0.039276741445064545, 0.16027025878429413, 0.044840242713689804, 0.41649752855300903, -0.2126832902431488, 0.029989873990416527, -5.646077738674649e-07, 4.290050128474832e-06, 1.8109276231359495e-11]]","[0.031402356922626495, -0.025921620428562164, -0.019045453518629074, -0.028400979936122894, 0.053553514182567596, 0.13179245591163635]","[[-0.009439706802368164, -0.05628793686628342, 0.013981601223349571]]","[0, 30]",2.241458255,-0.1408911645412445,10.0,188.0,1748233134.4169803,1.0,
"[[-0.017611104995012283, -0.0007204918656498194, -0.0496075376868248]]",216,"[0.7786460518836975, -0.2111678123474121, 0.02998989261686802]","[-0.23678934574127197, 0.04421579837799072, -0.9921498894691467, -0.9709379076957703]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.7422934770584106, -0.19505448639392853, 0.02160836011171341, 0.022120773792266846, 0.7786460518836975, -0.2111678123474121, 0.02998989261686802, -1.1071980452470598e-06, -3.453693864230445e-07, 0.14742103219032288]]","[0.030581513419747353, -0.9308406114578247, 2.2165544033050537, 2.451629161834717, -0.25300267338752747, 0.5964582562446594]","[[-0.011332171969115734, -0.00032137916423380375, -0.04931509867310524]]","[0, 30]",2.295591462,-0.22129008173942566,10.0,216.0,1748233134.4825077,29.0,
"[[-0.049936797469854355, -0.042034704238176346, -0.014247707091271877]]",219,"[0.7877516150474548, -0.21661342680454254, 0.029987910762429237]","[-0.9465687870979309, -0.8876816034317017, -0.28477442264556885, -0.4479219913482666]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.6845275163650513, -0.2816940248012543, 0.0057371314615011215, 4.189473474980332e-05, 0.7877516150474548, -0.21661342680454254, 0.029987910762429237, -3.205730899935588e-05, 9.639727977628354e-06, 1.511602520942688]]","[-0.16521795094013214, -1.2350503206253052, 2.4461472034454346, 3.158550977706909, 0.0824442133307457, 0.5227022767066956]","[[-0.017249729484319687, 0.004670809954404831, -0.00790768675506115]]","[0, 30]",2.301585572,-0.2304912507534027,10.0,219.0,1748233134.4893303,32.0,
"[[-0.048758458346128464, -0.04107954725623131, -0.004553508013486862]]",220,"[0.7903555035591125, -0.21895869076251984, 0.029989009723067284]","[-0.9230914115905762, -0.8684961795806885, -0.09104818105697632, -0.007951855659484863]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.655090868473053, -0.3262592852115631, 0.005523903761059046, 5.122480160935083e-06, 0.7903555035591125, -0.21895869076251984, 0.029989009723067284, -1.1010847629222553e-05, -7.605283826706e-06, 1.9581140279769897]]","[-0.11277254670858383, -1.3792966604232788, 2.6451892852783203, 3.56477427482605, 0.18119922280311584, 0.5056723356246948]","[[-0.016717921942472458, 0.001140449196100235, -0.00433918135240674]]","[0, 30]",2.303532909,-0.23317398130893707,10.0,220.0,1748233134.491339,33.0,
"[[-0.050087980926036835, -0.04267046973109245, 0.006950755137950182]]",222,"[0.7955496907234192, -0.22363702952861786, 0.0299899410456419]","[-0.9498630166053772, -0.9001519680023193, 0.1390213966369629, -0.5121684670448303]",False,"[0.5573599934577942, -0.20983825623989105, 0.029999999329447746]","[[0.5851632952690125, -0.41471391916275024, 0.009862878359854221, 6.459691803684109e-08, 0.7955496907234192, -0.22363702952861786, 0.0299899410456419, 4.7176033746154644e-08, -1.8510249901737552e-06, 2.7876954078674316]]","[-0.20794816315174103, -1.6364314556121826, 2.792753219604492, 4.283164024353027, 0.4613223373889923, 0.44332456588745117]","[[-0.010462991893291473, -0.0008837692439556122, 0.0025133658200502396]]","[0, 30]",2.348887409,-0.2385890781879425,10.0,222.0,1748233134.4952617,35.0,
"[[-0.045561861246824265, -0.008355575613677502, -0.021233320236206055]]",240,"[0.419671893119812, -0.06100710853934288, 0.029989968985319138]","[-0.9112371802330017, -0.16711151599884033, -0.424663782119751, -0.21573257446289062]",False,"[0.692615807056427, -0.20834705233573914, 0.029999999329447746]","[[0.512381374835968, -0.07191106677055359, 0.12398723512887955, -2.985641067709821e-09, 0.419671893119812, -0.06100710853934288, 0.029989968985319138, -6.216897645572317e-07, -6.542094865835679e-07, 3.481147661799078e-13]]","[0.05655311048030853, -0.027753449976444244, 0.006623167544603348, -0.02099812775850296, -0.017188943922519684, -0.00494799017906189]","[[-0.012545477598905563, -0.0002460656687617302, -0.002494063228368759]]","[0, 30]",2.349613814,-0.31017327308654785,11.0,240.0,1748233134.5277488,3.0,
"[[0.03380686789751053, 0.04410022124648094, 0.03504782170057297]]",245,"[0.42004698514938354, -0.06365024298429489, 0.030055345967411995]","[0.6841773986816406, 0.8377434015274048, 0.7022662162780762, -0.41937077045440674]",False,"[0.692615807056427, -0.20834705233573914, 0.029999999329447746]","[[0.4162428081035614, -0.05038263648748398, 0.03292283043265343, 0.062365226447582245, 0.42004698514938354, -0.06365024298429489, 0.030055345967411995, -0.0021823092829436064, -1.1740875152099761e-06, 0.03759035840630531]]","[0.10648658126592636, 0.20517395436763763, 0.05216589197516441, 0.02152145281434059, 0.09253279119729996, 0.017752230167388916]","[[0.01973900943994522, 0.020776882767677307, 0.0242126677185297]]","[0, 30]",2.392862535,-0.30859512090682983,11.0,245.0,1748233134.5377147,8.0,
"[[-0.003842049976810813, 0.02151365950703621, -0.013592211529612541]]",246,"[0.42145836353302, -0.0550537034869194, 0.029989957809448242]","[-0.04861342906951904, 0.6022039651870728, -0.2731519937515259, 0.11508095264434814]",False,"[0.692615807056427, -0.20834705233573914, 0.029999999329447746]","[[0.41774043440818787, -0.04180940240621567, 0.027832796797156334, 0.07442428171634674, 0.42145836353302, -0.0550537034869194, 0.029989957809448242, 1.0519633519834315e-07, 4.3297126239849604e-07, -0.10346615314483643]]","[0.043192602694034576, 0.24600888788700104, 0.05361921712756157, 0.03511134162545204, 0.10715580731630325, 0.04228350520133972]","[[-0.003928298130631447, 0.021536964923143387, -0.0085675660520792]]","[0, 30]",2.392918639,-0.31148871779441833,11.0,246.0,1748233134.539867,9.0,
