test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
"[[0.025974642485380173, -0.010615978389978409, 0.01750471256673336]]",245,"[0.4303778409957886, 0.05318006873130798, 0.029954764991998672]","[0.6432321071624756, -0.9563062191009521, 0.3503599166870117, -0.9683580994606018]",False,"[0.6295530200004578, -0.19775164127349854, 0.029999999329447746]","[[0.42028331756591797, 0.045666638761758804, 0.022224167361855507, 0.05390111356973648, 0.4303778409957886, 0.05318006873130798, 0.029954764991998672, -0.0018418479012325406, -0.0006696517230011523, 0.023312782868742943]]","[-0.3028660714626312, 0.3556095063686371, 0.4893031716346741, -0.22869670391082764, -0.6498611569404602, 0.38286352157592773]","[[0.02484024688601494, -0.012789286673069, 0.017255382612347603]]","[0, 30]",2.729726688,-0.3203708529472351,7,245,1748251620.302625,15
"[[0.037142205983400345, -0.00926724448800087, 0.04667393118143082]]",246,"[0.4406304359436035, 0.016211116686463356, 0.029965952038764954]","[0.9478960037231445, -0.9247239232063293, 0.9337023496627808, -0.9856244325637817]",False,"[0.6295530200004578, -0.19775164127349854, 0.029999999329447746]","[[0.4372977912425995, 0.015365763567388058, 0.025807462632656097, 0.052410244941711426, 0.4406304359436035, 0.016211116686463356, 0.029965952038764954, -0.0008590506622567773, 5.738468826166354e-05, 0.01768774539232254]]","[-0.29444339871406555, 0.33192113041877747, 0.5999703407287598, -0.21134892106056213, -0.835847020149231, 0.4419921040534973]","[[0.030380327254533768, -0.015935324132442474, 0.043101824820041656]]","[0, 30]",2.732364597,-0.2854326665401459,7,246,1748251620.30506,16
"[[-0.04866510257124901, 0.04947061464190483, 0.047307856380939484]]",334,"[0.531683623790741, -0.21330560743808746, 0.029989872127771378]","[-0.9733020663261414, 0.9894123077392578, 0.9459545612335205, 0.998720645904541]",False,"[0.5751045942306519, 0.12304258346557617, 0.029999999329447746]","[[0.5958136916160583, 0.023836735635995865, 0.19292451441287994, 0.07027386128902435, 0.531683623790741, -0.21330560743808746, 0.029989872127771378, -1.5367468222393654e-06, 3.4093625345121836e-06, 1.4366828039735768e-11]]","[0.03122839704155922, -0.03600741922855377, -0.040873948484659195, -0.03563288599252701, 0.07730468362569809, 0.2006673514842987]","[[-0.00603913888335228, 0.025633879005908966, 0.051773350685834885]]","[0, 30]",2.939662487,-0.33913934230804443,10,334,1748251620.512734,0
"[[-0.03489979729056358, 0.04096958786249161, -0.036652520298957825]]",360,"[0.5028592348098755, 0.22302567958831787, 0.029989873990416527]","[-0.6979959011077881, 0.8193917274475098, -0.7330502271652222, 0.8086414337158203]",False,"[0.49058768153190613, -0.0804482027888298, 0.029999999329447746]","[[0.556472897529602, 0.1721661239862442, 0.12071263045072556, 0.07999790459871292, 0.5028592348098755, 0.22302567958831787, 0.029989873990416527, 4.406920652400004e-06, 4.905948571831686e-07, 1.162909768481768e-09]]","[0.12522782385349274, 0.0043783485889434814, 0.026114370673894882, -0.01810503751039505, -0.016253121197223663, -0.03208641707897186]","[[-0.007480110973119736, 0.002806536853313446, -0.0026497691869735718]]","[0, 30]",3.035204035,-0.30372190475463867,11,360,1748251620.5675259,4
"[[-0.03528827428817749, 0.0711245983839035, -0.047434136271476746]]",380,"[0.6466901898384094, -0.18746228516101837, 0.029983459040522575]","[-0.540238618850708, 0.9587013721466064, -0.9556616544723511, -0.9665356874465942]",False,"[0.49058768153190613, -0.0804482027888298, 0.029999999329447746]","[[0.6310634613037109, -0.16678248345851898, 0.02379973791539669, 0.049623847007751465, 0.6466901898384094, -0.18746228516101837, 0.029983459040522575, -9.623363439459354e-07, -0.00019226514268666506, -0.15452446043491364]]","[0.13495413959026337, -0.2942366600036621, 1.7324081659317017, 1.2622065544128418, -0.48773500323295593, 0.5392963886260986]","[[-0.025677740573883057, 0.06870706379413605, -0.048592716455459595]]","[0, 30]",3.079362268,-0.18926174938678741,11,380,1748251620.6171281,24
"[[0.04594367742538452, 0.04826587438583374, 0.040847182273864746]]",409,"[0.6700080037117004, 0.22759759426116943, 0.029989968985319138]","[0.9188735485076904, 0.9653174877166748, 0.816946268081665, 0.9989428520202637]",False,"[0.5018602609634399, -0.27419906854629517, 0.029999999329447746]","[[0.6878617405891418, 0.14611904323101044, 0.12902991473674774, 0.07998251914978027, 0.6700080037117004, 0.22759759426116943, 0.029989968985319138, -6.216897645572317e-07, -6.542094865835679e-07, 3.481147661799078e-13]]","[0.05655311048030853, -0.027753449976444244, 0.006623167544603348, -0.02099812775850296, -0.017188943922519684, -0.00494799017906189]","[[0.027011513710021973, 0.010745085775852203, 0.035645123571157455]]","[0, 30]",3.127757908,-0.5292197465896606,12,409,1748251620.6884851,3
"[[0.06032976880669594, 0.06175161525607109, -0.025143077597022057]]",446,"[0.18137520551681519, -0.5413468480110168, 0.02997373417019844]","[0.8111504316329956, 0.8409550189971924, -0.503171443939209, -0.7315135598182678]",False,"[0.5018602609634399, -0.27419906854629517, 0.029999999329447746]","[[0.6073681712150574, 0.14999094605445862, 0.0059485724195837975, 2.0333613903744663e-08, 0.18137520551681519, -0.5413468480110168, 0.02997373417019844, 0.00026644920581020415, -0.0007910874555818737, -0.5677326917648315]]","[-0.1758555918931961, -2.455883741378784, 2.768821954727173, 6.514455318450928, 1.5183593034744263, 0.19211332499980927]","[[0.013214785605669022, 0.009557466953992844, -0.02518944814801216]]","[0, 30]",3.199302995,-0.41722729802131653,12,446,1748251620.7727683,40
"[[-0.011849409900605679, 0.005630964413285255, -0.03068159520626068]]",526,"[0.4606286287307739, 0.27252325415611267, 0.029989946633577347]","[-0.24965357780456543, 0.16892898082733154, -0.6136298179626465, 0.39327704906463623]",False,"[0.44806042313575745, -0.017925595864653587, 0.029999999329447746]","[[0.45855146646499634, 0.2690913677215576, 0.022007109597325325, 0.07999932765960693, 0.4606286287307739, 0.27252325415611267, 0.029989946633577347, -1.7856449119335593e-07, -2.1052122178844002e-07, 0.16103240847587585]]","[0.03812937065958977, 0.24438363313674927, 0.07361257076263428, 0.026165619492530823, 0.11663985252380371, 0.0395100936293602]","[[-0.0032855039462447166, 0.001765841618180275, -0.007822537794709206]]","[0, 30]",3.395965601,-0.2907206416130066,15,526,1748251620.9655483,9
"[[0.018470866605639458, -0.05895116925239563, 0.00030505325412377715]]",552,"[0.7479109764099121, -0.024016279727220535, 0.030542533844709396]","[0.5574938058853149, -0.7699439525604248, 0.019107580184936523, -0.7613195180892944]",False,"[0.44806042313575745, -0.017925595864653587, 0.029999999329447746]","[[0.7448317408561707, -0.04037747532129288, 0.022712085396051407, 0.05271604284644127, 0.7479109764099121, -0.024016279727220535, 0.030542533844709396, 0.020243052393198013, -0.00041927999700419605, 0.02823556214570999]]","[-0.013073405250906944, -1.7999939918518066, 2.7759382724761963, 4.7416090965271, 0.6044198870658875, 0.42174816131591797]","[[0.01910666935145855, -0.05173564329743385, 0.00024024624144658446]]","[0, 30]",3.460980522,-0.29991286993026733,15,552,1748251621.0334616,35
"[[-0.029890436679124832, 0.016774315387010574, -0.04722563177347183]]",598,"[0.5562118291854858, -0.06929696351289749, 0.02991517074406147]","[-0.8185056447982788, 0.966771125793457, -0.94334876537323, -0.028433382511138916]",False,"[0.5832957625389099, 0.04487771913409233, 0.029999999329447746]","[[0.5570414066314697, -0.06582558900117874, 0.02222725749015808, 0.0775512307882309, 0.5562118291854858, -0.06929696351289749, 0.02991517074406147, -0.00351699092425406, 0.00103891477920115, 0.311873197555542]]","[-0.2705133855342865, 0.2779896557331085, 0.7628859281539917, -0.16431725025177002, -0.8890962600708008, 0.48550277948379517]","[[-0.022144991904497147, 0.01720535382628441, -0.04693251848220825]]","[0, 30]",3.5757622700000002,-0.11734310537576675,17,598,1748251621.1338143,17
